Дата,Изображение,Вид изделия,Название,Тип одежды,Назначение,По полу и возрасту,Регион поставки,Регионы производства,Виды нанесения,Дизайн и моделирование,Дополнительные услуги,Заказчик предоставит:,Количество изделий,Комментарий к заказу,Конструирование,Нанесение логотипа/принта,Обеспечение сырьем,Описание тканей и состав фурнитуры,Плановый бюджет,Плотность материала,Сертификация,Срок поставки,Техническая документация,Технология,Требуется:,Упаковка,Условия оплаты,Цена за единицу,Ценовой сегмент
2024-12-05 15:23:18.124450,https://kalix.club/uploads/posts/2023-03/1677710138_kalix-club-p-zastavka-na-glavnii-ekran-telefona-oboi-52.jpg,"['Подтяжки', 'Халат рабочий']",Гдмзёмчспхя,Перчатки и защита рук,"Офисная, деловая одежда, Охота, рыбалка, туризм, Повседневная, городская одежда, Спортивная одежда, Униформа для сферы услуг и торговли","Большие размеры, Женская одеждаБольшие размеры, Детская одежда",Республика Саха (Якутия),Ямало-Ненецкий АО,"Вышивка, Шевроны",Нанесение принта на изделие,Маркировка,Лекала с градацией по размерам,42000 ,"РАБОТА ПОД КЛЮЧ, тиражи 1000 и больше единиц","Конструирование комплекта рабочих лекал базового размера с макетом, Изготовление и спецификация комплекта градированных лекал, Табель мер, Подготовка раскладки лекал для массового производства, Оцифровка ручных лекал ","Нанесение логотипа, Окрашивание ткани ",Подбор и закупка под заказ ,футер  ,7000 ,"Плотная (более 300гр/м2), Средней плотности (150-300гр/м2), Легкая (менее 150гр/м2)","Спецодежда и СИЗ, требующие обязательную сертификацию",2024-02-23,Нормирование операций,"Подбор ткани по внешнему виду, составу, усадке ",Разработка/доработка модели ,Индивидуальная упаковка,Без аванса,310,Средний плюс
2024-06-17 09:48:44.380836,https://kalix.club/uploads/posts/2023-03/1677710138_kalix-club-p-zastavka-na-glavnii-ekran-telefona-oboi-52.jpg,"['Пледы', 'Краги тестильные', 'Калмыцкий костюм', 'Шарфы']",Хржвщвклбре,Вязаная одежда,"Повседневная, городская одежда","Детская одежда, Женская одежда, Мужская одежда, Унисекс",Республика Алтай,Нижегородская область,Прямая цифровая печать,Нанесение,Сертификация,"Фото изделия, Технический рисунок, Лекала на базовый размер, Лекала с градацией по размерам, Табель мер, Основные технологические узлы (схемы) и операции, Эксплуатационная документация, Требуется соответствие ГОСТ",от 50 ,"Состоит из пальтовой ткани: шерсть 50%; полиэстер 30%, вискоза 20% ",Требуется разработка раскладок лекал ,"Нанесение логотипа, Нанесение принта на ткань ",Подбор и закупка под заказ ,Костюм варенка и 100% хлопка ,826500 ,"Плотная (более 300гр/м2), Средней плотности (150-300гр/м2)","Обычная одежда, не требует обязательной сертификации",2024-03-15,Описание последовательности,Технологическое описание со схемами узлов,Разработка/доработка модели ,Бумажная,Оплата перед отгрузкой,1240,Средний
2024-04-07 05:28:16.124034,https://kalix.club/uploads/posts/2023-03/1677710138_kalix-club-p-zastavka-na-glavnii-ekran-telefona-oboi-52.jpg,"['Штаны ХАССП', 'Балаклавы', 'Камуфляжный костюм', 'Зимние конверты', 'Сумка-шоппер']",Помъйсмъьчу,Джинсовые изделия,Охранные предприятия,"Большие размеры, Для беременных, Женская одежда, Мужская одежда, Подростковая одежда, Унисекс",Донецкая Народная Республика,Архангельская область,Тиснение,Маркетинговые услуги,"Юридическое сопровождение, Сертификация, Маркировка","Фото изделия, Технический рисунок, Табель мер, Основные технологические узлы (схемы) и операции",от 50 ,"Размер до 130 см. Полный цикл. Рассматриваем все варианты: давальческие материалы либо материалы приобретает исполнитель.  Лекал нет , предоставляем только образцы. Продукцию можно поставлять партиями не полным обьемом  ",Требуется разработка лекал ,Нанесение принта на ткань ,Давальческое,"Пряжа 70 акрил, 30 шерсть, ",325000 ,Легкая (менее 150гр/м2),"Спецодежда и СИЗ, требующие обязательную сертификацию",2024-07-29,Описание последовательности,Разработка конфекционной карты,"Разработка/доработка модели, Разработка лекал ",Бумажная,Отсрочка более 30 дней,1 000,Средний минус
2024-09-28 03:55:29.203671,https://kalix.club/uploads/posts/2023-03/1677710138_kalix-club-p-zastavka-na-glavnii-ekran-telefona-oboi-52.jpg,"['Хирургические костюмы', 'Поясные сумки', 'Форма Полиции', 'Варежки', 'Велосипедный спорт', 'Подушки для беременных', 'Пинетки']",Яшбъъягыдшё,Головные уборы,"Карнавальные костюмы, Медицинская одежда, Национальная одежда, Образовательные учреждения, Одежда специального назначения и СИЗ, Офисная, деловая одежда, Охота, рыбалка, туризм, Охранные предприятия, Пищевое производство, Повседневная, городская одежда, Рабочая одежда, Рекламная индустрия, Религиозная одежда, Спортивная одежда, Торжественная одежда, Униформа для HoReCa, Униформа для сферы услуг и торговли, Фирменная одежда/мерч/промо, Форменная одежда, обмундирование","Большие размеры, Женская одежда, Мужская одежда, Подростковая одежда, Унисекс",Республика Адыгея,Свердловская область,"Вышивка, Лента, бирка, штамп",Печать на варежках,"Маркировка, Сертификация","Фото изделия, Лекала с градацией по размерам",164 ,"Приталенный силуэт и покрой, воротник пиджачного типа ",Раскладки лекал в цифровом виде ,"Нанесение логотипа, Нанесение принта на ткань ","Давальческое сырье, Cырье фабрика ","Ткань верха: оксфорд (177гр/м2, 100% нейлон).  ",460 р/шт ,"Плотная (более 300гр/м2), Средней плотности (150-300гр/м2)","Обычная одежда, не требует обязательной сертификации",2024-08-07,Описание последовательности,Разработка конфекционной карты,Разработка/доработка модели ,Полиэтиленовая плёнка,Отсрочка более 30 дней,270,Средний плюс
2024-05-03 12:33:21.760504,https://kalix.club/uploads/posts/2023-03/1677710138_kalix-club-p-zastavka-na-glavnii-ekran-telefona-oboi-52.jpg,"['Жакет', 'Трусы, плавки', 'Форма боксерская', 'Неглиже', 'Капоры']",Кщйпоюкящщс,Трикотажная одежда,деловая одежда,"Большие размеры, Для беременных, Женская одежда, Мужская одежда, Подростковая одежда, Унисекс",Астраханская область,Республика Коми,"Прямая DTG печать, Прямая цифровая печать",Термотрансфер,Сертификация,"Фото изделия, 3D-модель изделия, Лекала с градацией по размерам, Табель мер","500 шт. первая партия, потом 5000 шт ","Лекало НЕТ, есть образец и видео ","Конструирование комплекта рабочих лекал базового размера с макетом, Изготовление и спецификация комплекта градированных лекал, Табель мер, Подготовка раскладки лекал для массового производства, Оцифровка ручных лекал ","Нанесение логотипа, Окрашивание ткани ",Полностью давальческое ,Футер 3хнитка ,702000 ,Легкая (менее 150гр/м2),"Обычная одежда, не требует обязательной сертификации",2024-02-23,Конфекционная карта,"Подбор ткани по внешнему виду, составу, усадке ",Разработка/доработка модели ,Картонная коробка,Отсрочка до 30 дней,"5 451,50",Средний минус
2024-02-22 11:17:43.224081,https://kalix.club/uploads/posts/2023-03/1677710138_kalix-club-p-zastavka-na-glavnii-ekran-telefona-oboi-52.jpg,"['Шуба', 'Ночные сорочки', 'Блузка', 'Баулы', 'Плащ', 'Брюки', 'Пояс-панталоны', 'Наволочки', 'Туристические рюкзаки']",Еэфлйщкамнл,Трикотажная одежда,"Повседневная, городская одежда","Детская одежда, Женская одежда, Мужская одежда, Подростковая одежда",Ферганская область,Ивановская область,Сублимационная печать,Печать на ткани,"Сертификация, Маркировка",Художественный эскиз,11500 ,"РАБОТА ПОД КЛЮЧ, тиражи 1000 и больше единиц","Конструирование комплекта рабочих лекал базового размера с макетом, Изготовление и спецификация комплекта градированных лекал, Табель мер, Подготовка раскладки лекал для массового производства, Оцифровка ручных лекал ",Нанесение логотипа ,Частично давальческое ,эластан+Вискоза+полиэстер  ,1575000 ,Средней плотности (150-300гр/м2),"Спецодежда и СИЗ, требующие обязательную сертификацию",2024-07-03,Нормирование операций,"Подбор ткани по внешнему виду, составу, усадке ","Разработка лекал, Разработка технологической документации",Индивидуальная упаковка,Оплата по факту приемки,620,Средний минус
2024-11-16 01:55:43.957233,https://kalix.club/uploads/posts/2023-03/1677710138_kalix-club-p-zastavka-na-glavnii-ekran-telefona-oboi-52.jpg,"['Полукорсет', 'Шляпы', 'Комбинезон', 'Панталоны', 'Шарфы', 'Гетры для регби', 'Шлемы вязаные', 'Рукавички-антицарапки', 'Калмыцкий костюм']",Ццъпхляажрм,Изделия из кожи,Национальная одежда,"Большие размеры, Для беременных, Мужская одежда",Чукотский АО,Ямало-Ненецкий АО,Прямая цифровая печать,Печать на лонгсливах,Маркировка,"Фото изделия, Технический рисунок",720 ,"Ищем производство, которое отошьёт женский костюм  ПОД КЛЮЧ.  ",Нужен конструктор ,Нанесение логотипа ,Собственное ,"Пряжа 70 акрил, 30 шерсть, ",261 360 ,"Плотная (более 300гр/м2), Средней плотности (150-300гр/м2), Легкая (менее 150гр/м2)","Обычная одежда, не требует обязательной сертификации",2024-06-05,Нормирование операций,"Разработка ТУ. Технических Регламентов, Подготовка документации для сертификации ",Разработка технологической документации ,ГОСТ 8737-77,Оплата по факту приемки,160,Средний плюс
2024-07-12 02:17:04.528287,https://kalix.club/uploads/posts/2023-03/1677710138_kalix-club-p-zastavka-na-glavnii-ekran-telefona-oboi-52.jpg,"['Испанский костюм', 'Колпак медицинский', 'Флаги', 'Униформа для продавцов', 'Борцовки', 'Мантии для судей', 'Грация']",Еёбмсдоьбщу,Домашняя одежда,"Одежда специального назначения и СИЗ, Охота, рыбалка, туризм, Охранные предприятия, Рабочая одежда, Униформа для сферы услуг и торговли, Форменная одежда, обмундирование","Большие размеры, Детская одежда, Женская одежда, Мужская одежда, Подростковая одежда, Унисекс",Липецкая область,Ульяновская область,"Вышивка, Лента, бирка, штамп",Печать на рюкзаках,"Сертификация, Маркировка",Художественный эскиз,800 ,ищу цех по пошиву поло 300 штук на вашем сырье. ,Цифровые лекала на базовый размер ,Нанесение принта на изделие ,Собственное ,футер 3х нитка  ,32500 ,"Плотная (более 300гр/м2), Средней плотности (150-300гр/м2)","Спецодежда и СИЗ, требующие обязательную сертификацию",2024-09-01,Конфекционная карта,Технологическое описание со схемами узлов,"Разработка/доработка модели, Разработка лекал, Разработка технологической документации ",Полиэтиленовая плёнка,Аванс до 50%,1270,Средний минус
2024-04-01 20:44:58.423598,https://kalix.club/uploads/posts/2023-03/1677710138_kalix-club-p-zastavka-na-glavnii-ekran-telefona-oboi-52.jpg,"['Велосипедный спорт', 'Пилотки', 'Шпагат', 'Форма Хоккейная', 'Финский костюм', 'Школьные фартуки', 'Трусы, плавки', 'Униформа для продавцов', 'Хирургические костюмы']",Днйучфлзеэв,Легкая одежда,Медицинская одежда,"Детская одежда, Женская одежда, Мужская одежда, Унисекс",Орловская область,Ставропольский край,Термоперенос,"Разработка фирменного стиля (бренд-бук, вшивные ярлыки), Перевод логотипа из растра в вектор",Сертификация,"Технический рисунок, Лекала с градацией по размерам",от 500 ,"Перед с двумя накладными карманами на груди и с двумя прорезными карманами внизу в области пояса, бёдер.  ","Изготовление и спецификация комплекта градированных лекал, Спецификация прикладных материалов и фурнитуры по размерам/ростам, Табель мер","Нанесение логотипа, Нанесение принта на ткань ",Собственное ,Кулирка + резинки ,1 600 000 ,"Плотная (более 300гр/м2), Средней плотности (150-300гр/м2), Легкая (менее 150гр/м2)","Спецодежда и СИЗ, требующие обязательную сертификацию",2024-04-23,Нормирование операций,"Разработка ТУ. Технических Регламентов, Подготовка документации для сертификации ","Разработка/доработка модели, Разработка лекал, Разработка технологической документации ",Другая,Аванс до 50%,3100,Средний минус
2024-10-08 03:28:11.687618,https://kalix.club/uploads/posts/2023-03/1677710138_kalix-club-p-zastavka-na-glavnii-ekran-telefona-oboi-52.jpg,"['Шпагат', 'Скатерти', 'Шапки', 'Униформа для крупье', 'Кардиган', 'Наволочки']",Шмгкшвнщызс,Изделия из меха,деловая одежда,"Детская одежда, Женская одеждаЖенская одежда, Мужская одежда",Республика Карачаево-Черкесия,Курская область,Прямая DTG печать,Отделка тканей и текстильных изделий,"Маркировка, Сертификация","Фото изделия, Технический рисунок, Раскладка лекал",6470 ,"Лекало НЕТ, есть образец и видео ","Конструирование комплекта рабочих лекал базового размера с макетом, Изготовление и спецификация комплекта градированных лекал, Табель мер, Подготовка раскладки лекал для массового производства, Оцифровка ручных лекал ","Нанесение логотипа, Нанесение принта на ткань ",Частично давальческое ,Материал: Лапша Лайкра ,12312 ,"Плотная (более 300гр/м2), Средней плотности (150-300гр/м2)","Спецодежда и СИЗ, требующие обязательную сертификацию",2024-04-05,Описание последовательности,"Разработка ТУ. Технических Регламентов, Подготовка документации для сертификации ",Разработка лекал ,Полиэтиленовая плёнка,Отсрочка более 30 дней,1850,Средний
